customer_id,gender,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,churn
1,1,35,4,99625.36997579243,2,1,0,86732.40193001108,0
2,0,43,4,96541.93512887936,2,1,0,50319.649415188615,0
3,1,61,5,55829.34536070976,1,0,0,95569.7042394817,0
4,1,51,7,88263.63431893397,4,0,1,132208.0078585705,0
5,1,27,7,18870.71083413794,2,1,1,134446.7959229942,1
6,0,79,4,27887.135259218187,2,0,1,50769.07517867023,1
7,1,53,7,70035.78299727713,3,1,0,138000.18182531104,0
8,1,31,3,84666.11422383059,2,1,0,96945.53604676697,0
9,1,48,6,85632.42918780925,3,0,1,65528.37207104076,1
10,0,65,2,40450.812712219005,4,0,1,112063.55542581595,1
11,1,32,9,88777.00987609598,1,1,0,82616.708435335,1
12,1,25,5,85092.84487675127,1,1,1,69138.38671589308,1
13,1,31,6,93563.49942209476,4,1,1,111660.9673585658,0
14,1,40,4,78534.06511139436,1,0,0,52334.14007593744,1
15,0,77,7,66898.82547142287,4,1,1,62932.8287724828,0
16,1,74,9,58068.662143645466,4,1,0,76478.73978347528,1
17,0,79,7,37228.27665617431,4,1,0,52978.68260350804,1
18,0,57,1,94013.34424577784,1,0,0,72676.27128158422,1
19,0,38,1,97366.38367553172,3,1,0,94291.49327665138,1
20,1,33,9,28392.09747374657,4,1,0,116326.60191838688,1
21,0,62,9,30536.386034439343,2,0,0,119735.33090411432,0
22,1,35,4,48561.37535862266,1,1,0,126962.74574397012,0
23,0,64,9,44842.41429862473,4,1,1,116747.51540262872,1
24,0,70,3,99445.74626108208,4,0,0,108535.12552259816,1
25,0,41,7,17592.525267734538,2,1,0,50875.84126802109,0
26,0,43,6,1807.5363615520864,3,0,1,72028.97607336323,1
27,0,42,8,49389.37151834346,3,0,1,82102.9358144296,1
28,0,77,9,17882.27092213288,3,1,1,30775.87182013605,0
29,0,77,5,36646.878458285995,4,1,0,88688.11576863719,1
30,0,77,1,74417.05230565622,4,1,1,76723.65810885228,1
31,1,62,3,72093.99242521293,4,1,0,124274.20237347543,0
32,1,58,8,30806.079185238923,1,0,0,147127.0869380552,0
33,0,46,6,54254.02305548993,2,1,0,92280.655023536,0
